COUNTY,DESCRIPTION,DATE,PATIENT,ENCOUNTER,CODE,VALUE,UNITS,TYPE
Dukes County,Bilirubin.total [Mass/volume] in Urine by Test strip,3,3,3,3,3,3,3
Dukes County,Specific gravity of Urine by Test strip,3,3,3,3,3,3,3
Dukes County,Hemoglobin [Presence] in Urine by Test strip,3,3,3,3,3,3,3
Dukes County,Glucose [Mass/volume] in Urine by Test strip,3,3,3,3,3,3,3
Dukes County,Protein [Mass/volume] in Urine by Test strip,3,3,3,3,3,3,3
Dukes County,Glucose [Presence] in Urine by Test strip,3,3,3,3,3,3,3
Dukes County,Nitrite [Presence] in Urine by Test strip,3,3,3,3,3,3,3
Dukes County,DXA [T-score] Bone density,2,2,2,2,2,2,2
Essex County,Diastolic Blood Pressure,1518,1518,1518,1518,1518,1518,1518
Essex County,Systolic Blood Pressure,1518,1518,1518,1518,1518,1518,1518
Essex County,Pain severity - 0-10 verbal numeric rating [Score] - Reported,1340,1340,1340,1340,1340,1340,1340
Essex County,Heart rate,1231,1231,1231,1231,1231,1231,1231
Essex County,Body Height,1231,1231,1231,1231,1231,1231,1231
Essex County,Respiratory rate,1231,1231,1231,1231,1231,1231,1231
Essex County,Body Weight,1231,1231,1231,1231,1231,1231,1231
Essex County,Tobacco smoking status NHIS,1231,1231,1231,1231,1231,0,1231
Essex County,Body Mass Index,1103,1103,1103,1103,1103,1103,1103
Essex County,DALY,999,999,0,999,999,999,999
Essex County,QALY,999,999,0,999,999,999,999
Essex County,QOLS,999,999,0,999,999,999,999
Essex County,Sodium,624,624,624,624,624,624,624
Essex County,Carbon Dioxide,624,624,624,624,624,624,624
Essex County,Glucose,624,624,624,624,624,624,624
Essex County,Urea Nitrogen,624,624,624,624,624,624,624
Essex County,Chloride,624,624,624,624,624,624,624
Essex County,Calcium,624,624,624,624,624,624,624
Essex County,Potassium,624,624,624,624,624,624,624
Essex County,Creatinine,624,624,624,624,624,624,624
Essex County,Low Density Lipoprotein Cholesterol,546,546,546,546,546,546,546
Essex County,Triglycerides,546,546,546,546,546,546,546
Essex County,Total Cholesterol,546,546,546,546,546,546,546
Essex County,High Density Lipoprotein Cholesterol,546,546,546,546,546,546,546
Essex County,Hemoglobin A1c/Hemoglobin.total in Blood,478,478,478,478,478,478,478
Essex County,Estimated Glomerular Filtration Rate,295,295,295,295,295,295,295
Essex County,Microalbumin Creatinine Ratio,295,295,295,295,295,295,295
Essex County,Platelets [#/volume] in Blood by Automated count,267,267,267,267,267,267,267
Essex County,MCV [Entitic volume] by Automated count,267,267,267,267,267,267,267
Essex County,Platelet distribution width [Entitic volume] in Blood by Automated count,267,267,267,267,267,267,267
Essex County,Hemoglobin [Mass/volume] in Blood,267,267,267,267,267,267,267
Essex County,Platelet mean volume [Entitic volume] in Blood by Automated count,267,267,267,267,267,267,267
Essex County,MCHC [Mass/volume] by Automated count,267,267,267,267,267,267,267
Essex County,MCH [Entitic mass] by Automated count,267,267,267,267,267,267,267
Essex County,Body mass index (BMI) [Percentile] Per age and gender,266,266,266,266,266,266,266
Essex County,Erythrocytes [#/volume] in Blood by Automated count,257,257,257,257,257,257,257
Essex County,Leukocytes [#/volume] in Blood by Automated count,257,257,257,257,257,257,257
Essex County,Hematocrit [Volume Fraction] of Blood by Automated count,257,257,257,257,257,257,257
Essex County,Erythrocyte distribution width [Entitic volume] by Automated count,257,257,257,257,257,257,257
Essex County,Head Occipital-frontal circumference,175,175,175,175,175,175,175
Essex County,Weight-for-length Per age and sex,175,175,175,175,175,175,175
Essex County,Glomerular filtration rate/1.73 sq M.predicted,142,142,142,142,142,142,142
Essex County,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,142,142,142,142,142,142,142
Essex County,Globulin [Mass/volume] in Serum by calculation,142,142,142,142,142,142,142
Essex County,Albumin [Mass/volume] in Serum or Plasma,142,142,142,142,142,142,142
Essex County,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,142,142,142,142,142,142,142
Essex County,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,142,142,142,142,142,142,142
Essex County,Protein [Mass/volume] in Serum or Plasma,142,142,142,142,142,142,142
Essex County,Bilirubin.total [Mass/volume] in Serum or Plasma,142,142,142,142,142,142,142
Essex County,Body temperature,63,63,63,63,63,63,63
Essex County,Mental health Outpatient Note,51,51,51,51,51,51,51
Essex County,FEV1/FVC,43,43,43,43,43,43,43
Essex County,Protein [Presence] in Urine by Test strip,38,38,38,38,38,38,38
Essex County,Protein [Mass/volume] in Urine by Test strip,38,38,38,38,38,38,38
Essex County,Specific gravity of Urine by Test strip,38,38,38,38,38,38,38
Essex County,pH of Urine by Test strip,38,38,38,38,38,38,38
Essex County,Glucose [Presence] in Urine by Test strip,38,38,38,38,38,38,38
Essex County,Bilirubin.total [Presence] in Urine by Test strip,38,38,38,38,38,38,38
Essex County,Hemoglobin [Presence] in Urine by Test strip,38,38,38,38,38,38,38
Essex County,Appearance of Urine,38,38,38,38,38,38,38
Essex County,Ketones [Presence] in Urine by Test strip,38,38,38,38,38,38,38
Essex County,Clarity of Urine,38,38,38,38,38,38,38
Essex County,Leukocyte esterase [Presence] in Urine by Test strip,38,38,38,38,38,38,38
Essex County,Nitrite [Presence] in Urine by Test strip,38,38,38,38,38,38,38
Essex County,Odor of Urine,38,38,38,38,38,38,38
Essex County,Bilirubin.total [Mass/volume] in Urine by Test strip,38,38,38,38,38,38,38
Essex County,Ketones [Mass/volume] in Urine by Test strip,38,38,38,38,38,38,38
Essex County,Color of Urine,38,38,38,38,38,38,38
Essex County,Glucose [Mass/volume] in Urine by Test strip,38,38,38,38,38,38,38
Essex County,Left ventricular Ejection fraction,18,18,18,18,18,18,18
Essex County,WBC Auto (Bld) [#/Vol],10,10,10,10,10,10,10
Essex County,RDW - Erythrocyte distribution width Auto (RBC) [Entitic vol],10,10,10,10,10,10,10
Essex County,RBC Auto (Bld) [#/Vol],10,10,10,10,10,10,10
Essex County,Hematocrit [Volume Fraction] of Blood,10,10,10,10,10,10,10
Essex County,DXA [T-score] Bone density,7,7,7,7,7,7,7
Essex County,Oxygen saturation in Arterial blood,7,7,7,7,7,7,7
Essex County,HIV status,4,4,4,4,4,4,4
Essex County,Abuse Status [OMAHA],4,4,4,4,4,4,4
Essex County,Sexual orientation,4,4,4,4,4,4,4
Essex County,Polyp size greatest dimension by CAP cancer protocols,4,4,4,4,4,4,4
Essex County,History of Hospitalizations+Outpatient visits,4,4,4,4,4,4,4
Essex County,Housing status,4,4,4,4,4,4,4
Essex County,Are you covered by health insurance or some other kind of health care plan [PhenX],4,4,4,4,4,4,4
Essex County,NT-proBNP,4,4,4,4,4,4,4
Essex County,Hemoglobin.gastrointestinal [Presence] in Stool by Immunologic method,4,4,4,4,4,4,4
Essex County,Total score [MMSE],4,4,4,4,4,4,4
Essex County,Walnut IgE Ab in Serum,3,3,3,3,3,3,3
Essex County,Soybean IgE Ab in Serum,3,3,3,3,3,3,3
Essex County,Shrimp IgE Ab in Serum,3,3,3,3,3,3,3
Essex County,Wheat IgE Ab in Serum,3,3,3,3,3,3,3
Essex County,Latex IgE Ab in Serum,3,3,3,3,3,3,3
Essex County,White oak IgE Ab in Serum,3,3,3,3,3,3,3
Essex County,Peanut IgE Ab in Serum,3,3,3,3,3,3,3
Essex County,Honey bee IgE Ab in Serum,3,3,3,3,3,3,3
Essex County,Codfish IgE Ab in Serum,3,3,3,3,3,3,3
Essex County,Common Ragweed IgE Ab in Serum,3,3,3,3,3,3,3
Essex County,Egg white IgE Ab in Serum,3,3,3,3,3,3,3
Essex County,Cause of Death [US Standard Certificate of Death],3,3,3,3,3,0,3
Essex County,Cladosporium herbarum IgE Ab in Serum,3,3,3,3,3,3,3
Essex County,Cat dander IgE Ab in Serum,3,3,3,3,3,3,3
Essex County,American house dust mite IgE Ab in Serum,3,3,3,3,3,3,3
Essex County,Cow milk IgE Ab in Serum,3,3,3,3,3,3,3
Essex County,Prostate specific Ag [Mass/volume] in Serum or Plasma,2,2,2,2,2,2,2
Essex County,Physical findings of Prostate,2,2,2,2,2,2,2
Essex County,US Guidance for biopsy of Prostate,1,1,1,1,1,1,1
Essex County,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,1,1,1,1,1,1,1
Essex County,Thyrotropin [Units/volume] in Serum or Plasma,1,1,1,1,1,1,1
Franklin County,Pain severity - 0-10 verbal numeric rating [Score] - Reported,224,224,224,224,224,224,224
Franklin County,Diastolic Blood Pressure,222,222,222,222,222,222,222
Franklin County,Systolic Blood Pressure,222,222,222,222,222,222,222
Franklin County,Body Height,219,219,219,219,219,219,219
Franklin County,Body Weight,219,219,219,219,219,219,219
Franklin County,Respiratory rate,219,219,219,219,219,219,219
Franklin County,Heart rate,219,219,219,219,219,219,219
Franklin County,Tobacco smoking status NHIS,219,219,219,219,219,0,219
Franklin County,Body Mass Index,212,212,212,212,212,212,212
Franklin County,DALY,122,122,0,122,122,122,122
Franklin County,QOLS,122,122,0,122,122,122,122
Franklin County,QALY,122,122,0,122,122,122,122
Franklin County,Triglycerides,120,120,120,120,120,120,120
Franklin County,Total Cholesterol,120,120,120,120,120,120,120
Franklin County,High Density Lipoprotein Cholesterol,120,120,120,120,120,120,120
Franklin County,Low Density Lipoprotein Cholesterol,120,120,120,120,120,120,120
Franklin County,Potassium,104,104,104,104,104,104,104
Franklin County,Chloride,104,104,104,104,104,104,104
Franklin County,Urea Nitrogen,104,104,104,104,104,104,104
Franklin County,Glucose,104,104,104,104,104,104,104
Franklin County,Creatinine,104,104,104,104,104,104,104
Franklin County,Sodium,104,104,104,104,104,104,104
Franklin County,Calcium,104,104,104,104,104,104,104
Franklin County,Carbon Dioxide,104,104,104,104,104,104,104
Franklin County,Hemoglobin A1c/Hemoglobin.total in Blood,95,95,95,95,95,95,95
Franklin County,Estimated Glomerular Filtration Rate,84,84,84,84,84,84,84
Franklin County,Microalbumin Creatinine Ratio,84,84,84,84,84,84,84
Franklin County,Body mass index (BMI) [Percentile] Per age and gender,39,39,39,39,39,39,39
Franklin County,MCHC [Mass/volume] by Automated count,31,31,31,31,31,31,31
Franklin County,MCH [Entitic mass] by Automated count,31,31,31,31,31,31,31
Franklin County,Hemoglobin [Mass/volume] in Blood,31,31,31,31,31,31,31
Franklin County,Platelet distribution width [Entitic volume] in Blood by Automated count,31,31,31,31,31,31,31
Franklin County,Platelet mean volume [Entitic volume] in Blood by Automated count,31,31,31,31,31,31,31
Franklin County,Platelets [#/volume] in Blood by Automated count,31,31,31,31,31,31,31
Franklin County,MCV [Entitic volume] by Automated count,31,31,31,31,31,31,31
Franklin County,Leukocytes [#/volume] in Blood by Automated count,29,29,29,29,29,29,29
Franklin County,Hematocrit [Volume Fraction] of Blood by Automated count,29,29,29,29,29,29,29
Franklin County,Erythrocytes [#/volume] in Blood by Automated count,29,29,29,29,29,29,29
Franklin County,Erythrocyte distribution width [Entitic volume] by Automated count,29,29,29,29,29,29,29
Franklin County,Weight-for-length Per age and sex,11,11,11,11,11,11,11
Franklin County,Head Occipital-frontal circumference,11,11,11,11,11,11,11
Franklin County,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,10,10,10,10,10,10,10
Franklin County,Bilirubin.total [Mass/volume] in Serum or Plasma,10,10,10,10,10,10,10
Franklin County,Glomerular filtration rate/1.73 sq M.predicted,10,10,10,10,10,10,10
Franklin County,Protein [Mass/volume] in Serum or Plasma,10,10,10,10,10,10,10
Franklin County,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,10,10,10,10,10,10,10
Franklin County,Albumin [Mass/volume] in Serum or Plasma,10,10,10,10,10,10,10
Franklin County,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,10,10,10,10,10,10,10
Franklin County,Globulin [Mass/volume] in Serum by calculation,10,10,10,10,10,10,10
Franklin County,Body temperature,7,7,7,7,7,7,7
Franklin County,Response to cancer treatment,5,5,5,5,5,0,5
Franklin County,Sexual orientation,4,4,4,4,4,4,4
Franklin County,Abuse Status [OMAHA],4,4,4,4,4,4,4
Franklin County,Housing status,4,4,4,4,4,4,4
Franklin County,History of Hospitalizations+Outpatient visits,4,4,4,4,4,4,4
Franklin County,HIV status,4,4,4,4,4,4,4
Franklin County,Are you covered by health insurance or some other kind of health care plan [PhenX],4,4,4,4,4,4,4
Franklin County,DXA [T-score] Bone density,2,2,2,2,2,2,2
Franklin County,Hematocrit [Volume Fraction] of Blood,2,2,2,2,2,2,2
Franklin County,RBC Auto (Bld) [#/Vol],2,2,2,2,2,2,2
Franklin County,RDW - Erythrocyte distribution width Auto (RBC) [Entitic vol],2,2,2,2,2,2,2
Franklin County,Stage group.clinical Cancer,2,2,2,2,2,0,2
Franklin County,WBC Auto (Bld) [#/Vol],2,2,2,2,2,2,2
Franklin County,Lymph nodes with isolated tumor cells [#] in Cancer specimen by Light microscopy,1,1,1,1,1,1,1
Franklin County,Primary tumor.clinical [Class] Cancer,1,1,1,1,1,0,1
Franklin County,Progesterone receptor Ag [Presence] in Breast cancer specimen by Immune stain,1,1,1,1,1,0,1
Franklin County,Size.maximum dimension in Tumor,1,1,1,1,1,1,1
Franklin County,Site of distant metastasis in Breast tumor,1,1,1,1,1,0,1
Franklin County,Regional lymph nodes.clinical [Class] Cancer,1,1,1,1,1,0,1
Franklin County,Distant metastases.clinical [Class] Cancer,1,1,1,1,1,0,1
Franklin County,Estrogen receptor Ag [Presence] in Breast cancer specimen by Immune stain,1,1,1,1,1,0,1
Franklin County,HER2 [Presence] in Breast cancer specimen by FISH,1,1,1,1,1,1,1
Franklin County,HER2 [Presence] in Breast cancer specimen by Immune stain,1,1,1,1,1,0,1
Franklin County,Treatment status Cancer,1,1,1,1,1,0,1
Hampden County,Pain severity - 0-10 verbal numeric rating [Score] - Reported,840,840,840,840,840,840,840
Hampden County,Diastolic Blood Pressure,830,830,830,830,830,830,830
Hampden County,Systolic Blood Pressure,830,830,830,830,830,830,830
Hampden County,Body Height,822,822,822,822,822,822,822
Hampden County,Body Weight,822,822,822,822,822,822,822
Hampden County,Heart rate,822,822,822,822,822,822,822
Hampden County,Respiratory rate,822,822,822,822,822,822,822
Hampden County,Tobacco smoking status NHIS,822,822,822,822,822,0,822
Hampden County,Body Mass Index,727,727,727,727,727,727,727
Hampden County,DALY,678,678,0,678,678,678,678
Hampden County,QOLS,678,678,0,678,678,678,678
Hampden County,QALY,678,678,0,678,678,678,678
Hampden County,Calcium,265,265,265,265,265,265,265
Hampden County,Creatinine,265,265,265,265,265,265,265
Hampden County,Carbon Dioxide,265,265,265,265,265,265,265
Hampden County,Sodium,265,265,265,265,265,265,265
Hampden County,Urea Nitrogen,265,265,265,265,265,265,265
Hampden County,Chloride,265,265,265,265,265,265,265
Hampden County,Glucose,265,265,265,265,265,265,265
Hampden County,Potassium,265,265,265,265,265,265,265
Hampden County,Low Density Lipoprotein Cholesterol,262,262,262,262,262,262,262
Hampden County,High Density Lipoprotein Cholesterol,262,262,262,262,262,262,262
Hampden County,Total Cholesterol,262,262,262,262,262,262,262
Hampden County,Triglycerides,262,262,262,262,262,262,262
Hampden County,Body mass index (BMI) [Percentile] Per age and gender,247,247,247,247,247,247,247
Hampden County,Hemoglobin A1c/Hemoglobin.total in Blood,206,206,206,206,206,206,206
Hampden County,Weight-for-length Per age and sex,142,142,142,142,142,142,142
Hampden County,Head Occipital-frontal circumference,142,142,142,142,142,142,142
Hampden County,MCV [Entitic volume] by Automated count,138,138,138,138,138,138,138
Hampden County,Platelets [#/volume] in Blood by Automated count,138,138,138,138,138,138,138
Hampden County,Platelet mean volume [Entitic volume] in Blood by Automated count,138,138,138,138,138,138,138
Hampden County,Hemoglobin [Mass/volume] in Blood,138,138,138,138,138,138,138
Hampden County,Platelet distribution width [Entitic volume] in Blood by Automated count,138,138,138,138,138,138,138
Hampden County,MCH [Entitic mass] by Automated count,138,138,138,138,138,138,138
Hampden County,MCHC [Mass/volume] by Automated count,138,138,138,138,138,138,138
Hampden County,Erythrocytes [#/volume] in Blood by Automated count,134,134,134,134,134,134,134
Hampden County,Hematocrit [Volume Fraction] of Blood by Automated count,134,134,134,134,134,134,134
Hampden County,Leukocytes [#/volume] in Blood by Automated count,134,134,134,134,134,134,134
Hampden County,Erythrocyte distribution width [Entitic volume] by Automated count,134,134,134,134,134,134,134
Hampden County,Microalbumin Creatinine Ratio,107,107,107,107,107,107,107
Hampden County,Estimated Glomerular Filtration Rate,107,107,107,107,107,107,107
Hampden County,Body temperature,54,54,54,54,54,54,54
Hampden County,Protein [Mass/volume] in Serum or Plasma,52,52,52,52,52,52,52
Hampden County,Glomerular filtration rate/1.73 sq M.predicted,52,52,52,52,52,52,52
Hampden County,Globulin [Mass/volume] in Serum by calculation,52,52,52,52,52,52,52
Hampden County,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,52,52,52,52,52,52,52
Hampden County,Albumin [Mass/volume] in Serum or Plasma,52,52,52,52,52,52,52
Hampden County,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,52,52,52,52,52,52,52
Hampden County,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,52,52,52,52,52,52,52
Hampden County,Bilirubin.total [Mass/volume] in Serum or Plasma,52,52,52,52,52,52,52
Hampden County,Left ventricular Ejection fraction,28,28,28,28,28,28,28
Hampden County,Sexual orientation,12,12,12,12,12,12,12
Hampden County,HIV status,12,12,12,12,12,12,12
Hampden County,Housing status,12,12,12,12,12,12,12
Hampden County,History of Hospitalizations+Outpatient visits,12,12,12,12,12,12,12
Hampden County,Abuse Status [OMAHA],12,12,12,12,12,12,12
Hampden County,Are you covered by health insurance or some other kind of health care plan [PhenX],12,12,12,12,12,12,12
Hampden County,Prostate specific Ag [Mass/volume] in Serum or Plasma,8,8,8,8,8,8,8
Hampden County,Physical findings of Prostate,8,8,8,8,8,8,8
Hampden County,NT-proBNP,6,6,6,6,6,6,6
Hampden County,Oxygen saturation in Arterial blood,6,6,6,6,6,6,6
Hampden County,Response to cancer treatment,5,5,5,5,5,0,5
Hampden County,WBC Auto (Bld) [#/Vol],4,4,4,4,4,4,4
Hampden County,Soybean IgE Ab in Serum,4,4,4,4,4,4,4
Hampden County,Walnut IgE Ab in Serum,4,4,4,4,4,4,4
Hampden County,Hematocrit [Volume Fraction] of Blood,4,4,4,4,4,4,4
Hampden County,Hemoglobin.gastrointestinal [Presence] in Stool by Immunologic method,4,4,4,4,4,4,4
Hampden County,Polyp size greatest dimension by CAP cancer protocols,4,4,4,4,4,4,4
Hampden County,RBC Auto (Bld) [#/Vol],4,4,4,4,4,4,4
Hampden County,Peanut IgE Ab in Serum,4,4,4,4,4,4,4
Hampden County,RDW - Erythrocyte distribution width Auto (RBC) [Entitic vol],4,4,4,4,4,4,4
Hampden County,Shrimp IgE Ab in Serum,4,4,4,4,4,4,4
Hampden County,Latex IgE Ab in Serum,4,4,4,4,4,4,4
Hampden County,Honey bee IgE Ab in Serum,4,4,4,4,4,4,4
Hampden County,DXA [T-score] Bone density,4,4,4,4,4,4,4
Hampden County,American house dust mite IgE Ab in Serum,4,4,4,4,4,4,4
Hampden County,Wheat IgE Ab in Serum,4,4,4,4,4,4,4
Hampden County,White oak IgE Ab in Serum,4,4,4,4,4,4,4
Hampden County,Egg white IgE Ab in Serum,4,4,4,4,4,4,4
Hampden County,Cladosporium herbarum IgE Ab in Serum,4,4,4,4,4,4,4
Hampden County,Codfish IgE Ab in Serum,4,4,4,4,4,4,4
Hampden County,Common Ragweed IgE Ab in Serum,4,4,4,4,4,4,4
Hampden County,Cat dander IgE Ab in Serum,4,4,4,4,4,4,4
Hampden County,Cow milk IgE Ab in Serum,4,4,4,4,4,4,4
Hampden County,Stage group.clinical Cancer,2,2,2,2,2,0,2
Hampden County,US Guidance for biopsy of Prostate,2,2,2,2,2,2,2
Hampden County,Regional lymph nodes.clinical [Class] Cancer,1,1,1,1,1,0,1
Hampden County,Treatment status Cancer,1,1,1,1,1,0,1
Hampden County,Size.maximum dimension in Tumor,1,1,1,1,1,1,1
Hampden County,Site of distant metastasis in Breast tumor,1,1,1,1,1,0,1
Hampden County,Distant metastases.clinical [Class] Cancer,1,1,1,1,1,0,1
Hampden County,Estrogen receptor Ag [Presence] in Breast cancer specimen by Immune stain,1,1,1,1,1,0,1
Hampden County,Estrogen+Progesterone receptor Ag [Presence] in Tissue by Immune stain,1,1,1,1,1,0,1
Hampden County,HER2 [Presence] in Breast cancer specimen by FISH,1,1,1,1,1,1,1
Hampden County,HER2 [Presence] in Breast cancer specimen by Immune stain,1,1,1,1,1,0,1
Hampden County,Lymph nodes with micrometastases [#] in Cancer specimen by Light microscopy,1,1,1,1,1,1,1
Hampden County,Progesterone receptor Ag [Presence] in Breast cancer specimen by Immune stain,1,1,1,1,1,0,1
Hampden County,Primary tumor.clinical [Class] Cancer,1,1,1,1,1,0,1
Hampshire County,Pain severity - 0-10 verbal numeric rating [Score] - Reported,565,565,565,565,565,565,565
Hampshire County,Chloride,416,416,416,416,416,416,416
Hampshire County,Calcium,416,416,416,416,416,416,416
Hampshire County,Glucose,416,416,416,416,416,416,416
Hampshire County,Creatinine,416,416,416,416,416,416,416
Hampshire County,Potassium,416,416,416,416,416,416,416
Hampshire County,Urea Nitrogen,416,416,416,416,416,416,416
Hampshire County,Sodium,416,416,416,416,416,416,416
Hampshire County,Carbon Dioxide,416,416,416,416,416,416,416
Hampshire County,Systolic Blood Pressure,408,408,408,408,408,408,408
Hampshire County,Diastolic Blood Pressure,408,408,408,408,408,408,408
Hampshire County,Body Weight,401,401,401,401,401,401,401
Hampshire County,Heart rate,401,401,401,401,401,401,401
Hampshire County,Body Height,401,401,401,401,401,401,401
Hampshire County,Tobacco smoking status NHIS,401,401,401,401,401,0,401
Hampshire County,Respiratory rate,401,401,401,401,401,401,401
Hampshire County,Body Mass Index,381,381,381,381,381,381,381
Hampshire County,DALY,325,325,0,325,325,325,325
Hampshire County,QALY,325,325,0,325,325,325,325
Hampshire County,QOLS,325,325,0,325,325,325,325
Hampshire County,Hemoglobin A1c/Hemoglobin.total in Blood,225,225,225,225,225,225,225
Hampshire County,Hemoglobin [Mass/volume] in Blood,221,221,221,221,221,221,221
Hampshire County,MCH [Entitic mass] by Automated count,221,221,221,221,221,221,221
Hampshire County,MCHC [Mass/volume] by Automated count,221,221,221,221,221,221,221
Hampshire County,MCV [Entitic volume] by Automated count,221,221,221,221,221,221,221
Hampshire County,Platelet distribution width [Entitic volume] in Blood by Automated count,221,221,221,221,221,221,221
Hampshire County,Platelet mean volume [Entitic volume] in Blood by Automated count,221,221,221,221,221,221,221
Hampshire County,Platelets [#/volume] in Blood by Automated count,221,221,221,221,221,221,221
Hampshire County,Leukocytes [#/volume] in Blood by Automated count,219,219,219,219,219,219,219
Hampshire County,Erythrocytes [#/volume] in Blood by Automated count,219,219,219,219,219,219,219
Hampshire County,Erythrocyte distribution width [Entitic volume] by Automated count,219,219,219,219,219,219,219
Hampshire County,Hematocrit [Volume Fraction] of Blood by Automated count,219,219,219,219,219,219,219
Hampshire County,Glomerular filtration rate/1.73 sq M.predicted,187,187,187,187,187,187,187
Hampshire County,Globulin [Mass/volume] in Serum by calculation,186,186,186,186,186,186,186
Hampshire County,Protein [Mass/volume] in Serum or Plasma,186,186,186,186,186,186,186
Hampshire County,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,186,186,186,186,186,186,186
Hampshire County,Albumin [Mass/volume] in Serum or Plasma,186,186,186,186,186,186,186
Hampshire County,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,186,186,186,186,186,186,186
Hampshire County,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,186,186,186,186,186,186,186
Hampshire County,Bilirubin.total [Mass/volume] in Serum or Plasma,186,186,186,186,186,186,186
Hampshire County,Total Cholesterol,168,168,168,168,168,168,168
Hampshire County,Triglycerides,168,168,168,168,168,168,168
Hampshire County,Low Density Lipoprotein Cholesterol,168,168,168,168,168,168,168
Hampshire County,High Density Lipoprotein Cholesterol,168,168,168,168,168,168,168
Hampshire County,Protein [Presence] in Urine by Test strip,155,155,155,155,155,155,155
Hampshire County,Bilirubin.total [Presence] in Urine by Test strip,155,155,155,155,155,155,155
Hampshire County,Ketones [Presence] in Urine by Test strip,155,155,155,155,155,155,155
Hampshire County,Appearance of Urine,155,155,155,155,155,155,155
Hampshire County,Bilirubin.total [Mass/volume] in Urine by Test strip,155,155,155,155,155,155,155
Hampshire County,Glucose [Presence] in Urine by Test strip,155,155,155,155,155,155,155
Hampshire County,Specific gravity of Urine by Test strip,155,155,155,155,155,155,155
Hampshire County,Hemoglobin [Presence] in Urine by Test strip,155,155,155,155,155,155,155
Hampshire County,Glucose [Mass/volume] in Urine by Test strip,155,155,155,155,155,155,155
Hampshire County,Color of Urine,155,155,155,155,155,155,155
Hampshire County,Clarity of Urine,155,155,155,155,155,155,155
Hampshire County,Leukocyte esterase [Presence] in Urine by Test strip,155,155,155,155,155,155,155
Hampshire County,Ketones [Mass/volume] in Urine by Test strip,155,155,155,155,155,155,155
Hampshire County,Nitrite [Presence] in Urine by Test strip,155,155,155,155,155,155,155
Hampshire County,pH of Urine by Test strip,155,155,155,155,155,155,155
Hampshire County,Protein [Mass/volume] in Urine by Test strip,155,155,155,155,155,155,155
Hampshire County,Odor of Urine,155,155,155,155,155,155,155
Hampshire County,Body mass index (BMI) [Percentile] Per age and gender,95,95,95,95,95,95,95
Hampshire County,Microalbumin Creatinine Ratio,74,74,74,74,74,74,74
Hampshire County,Estimated Glomerular Filtration Rate,74,74,74,74,74,74,74
Hampshire County,Head Occipital-frontal circumference,32,32,32,32,32,32,32
Hampshire County,Weight-for-length Per age and sex,32,32,32,32,32,32,32
Hampshire County,Body temperature,25,25,25,25,25,25,25
Hampshire County,Left ventricular Ejection fraction,8,8,8,8,8,8,8
Hampshire County,Walnut IgE Ab in Serum,6,6,6,6,6,6,6
Hampshire County,Soybean IgE Ab in Serum,6,6,6,6,6,6,6
Hampshire County,Shrimp IgE Ab in Serum,6,6,6,6,6,6,6
Hampshire County,Peanut IgE Ab in Serum,6,6,6,6,6,6,6
Hampshire County,Wheat IgE Ab in Serum,6,6,6,6,6,6,6
Hampshire County,Latex IgE Ab in Serum,6,6,6,6,6,6,6
Hampshire County,American house dust mite IgE Ab in Serum,6,6,6,6,6,6,6
Hampshire County,Honey bee IgE Ab in Serum,6,6,6,6,6,6,6
Hampshire County,Egg white IgE Ab in Serum,6,6,6,6,6,6,6
Hampshire County,Cow milk IgE Ab in Serum,6,6,6,6,6,6,6
Hampshire County,Common Ragweed IgE Ab in Serum,6,6,6,6,6,6,6
Hampshire County,Codfish IgE Ab in Serum,6,6,6,6,6,6,6
Hampshire County,Cladosporium herbarum IgE Ab in Serum,6,6,6,6,6,6,6
Hampshire County,Cat dander IgE Ab in Serum,6,6,6,6,6,6,6
Hampshire County,White oak IgE Ab in Serum,6,6,6,6,6,6,6
Hampshire County,Oxygen saturation in Arterial blood,4,4,4,4,4,4,4
Hampshire County,NT-proBNP,3,3,3,3,3,3,3
Hampshire County,Hematocrit [Volume Fraction] of Blood,2,2,2,2,2,2,2
Hampshire County,WBC Auto (Bld) [#/Vol],2,2,2,2,2,2,2
Hampshire County,RDW - Erythrocyte distribution width Auto (RBC) [Entitic vol],2,2,2,2,2,2,2
Hampshire County,RBC Auto (Bld) [#/Vol],2,2,2,2,2,2,2
Hampshire County,Sexual orientation,1,1,1,1,1,1,1
Hampshire County,Are you covered by health insurance or some other kind of health care plan [PhenX],1,1,1,1,1,1,1
Hampshire County,Polyp size greatest dimension by CAP cancer protocols,1,1,1,1,1,1,1
Hampshire County,HIV status,1,1,1,1,1,1,1
